,param_initialization,optimizer,qaoa_variant,warm_start,errors,depth,recursiv_vars,graph_size,graph_name,time_elapsed,quantum_func_evals,obj_func_evolution,quantum_solution,quantum_obj_value,classic_solution,classic_value
0,gaussian,COBYLA,recursive,False,True,1,3,5,D~{,76.3845419883728,29,[],[1. 1. 1. 1. 0.],3.3768990694203076,"[1.0, 1.0, 1.0, 1.0, 0]",3.376899069420308
1,gaussian,COBYLA,recursive,False,True,1,3,5,HCrfZzf,78.69404077529907,32,[],[1. 0. 0. 0. 1.],3.667585436702109,"[1.0, 0, 0, 0, 1.0]",3.667585436702109
2,gaussian,COBYLA,recursive,False,True,1,4,5,D~{,36.136096715927124,26,[],[1. 1. 1. 1. 0.],3.3768990694203076,"[1.0, 1.0, 1.0, 1.0, 0]",3.376899069420308
3,gaussian,COBYLA,recursive,False,True,1,4,5,HCrfZzf,34.038047552108765,25,[],[1. 0. 0. 1. 1.],3.409218382269965,"[1.0, 0, 0, 0, 1.0]",3.667585436702109
4,gaussian,COBYLA,recursive,False,True,1,3,5,D~{,82.88293099403381,29,[],[0. 0. 0. 0. 1.],3.3768990694203076,"[1.0, 1.0, 1.0, 1.0, 0]",3.376899069420308
5,gaussian,COBYLA,recursive,False,True,1,3,5,HCrfZzf,89.47925806045532,36,[],[1. 0. 0. 0. 1.],3.667585436702109,"[1.0, 0, 0, 0, 1.0]",3.667585436702109
6,gaussian,COBYLA,recursive,False,True,1,4,5,D~{,39.76459217071533,27,[],[1. 1. 1. 1. 0.],3.3768990694203076,"[1.0, 1.0, 1.0, 1.0, 0]",3.376899069420308
7,gaussian,COBYLA,recursive,False,True,1,4,5,HCrfZzf,39.13014888763428,27,[],[1. 0. 0. 0. 1.],3.667585436702109,"[1.0, 0, 0, 0, 1.0]",3.667585436702109
8,gaussian,COBYLA,recursive,False,True,1,3,5,D~{,71.10235142707825,29,[],[1. 1. 1. 1. 0.],3.3768990694203076,"[1.0, 1.0, 1.0, 1.0, 0]",3.376899069420308
9,gaussian,COBYLA,recursive,False,True,1,3,5,HCrfZzf,82.14131903648376,31,[],[1. 0. 0. 0. 1.],3.667585436702109,"[1.0, 0, 0, 0, 1.0]",3.667585436702109
10,gaussian,COBYLA,recursive,False,True,1,4,5,D~{,31.802809715270996,25,[],[1. 1. 1. 1. 0.],3.3768990694203076,"[1.0, 1.0, 1.0, 1.0, 0]",3.376899069420308
11,gaussian,COBYLA,recursive,False,True,1,4,5,HCrfZzf,43.1832754611969,33,[],[1. 0. 0. 0. 1.],3.667585436702109,"[1.0, 0, 0, 0, 1.0]",3.667585436702109
12,gaussian,COBYLA,recursive,False,True,1,3,5,D~{,68.23173713684082,27,[],[0. 0. 0. 0. 1.],3.3768990694203076,"[1.0, 1.0, 1.0, 1.0, 0]",3.376899069420308
13,gaussian,COBYLA,recursive,False,True,1,3,5,HCrfZzf,78.78032946586609,28,[],[0. 1. 1. 1. 0.],3.667585436702108,"[1.0, 0, 0, 0, 1.0]",3.667585436702109
14,gaussian,COBYLA,recursive,False,True,1,4,5,D~{,42.198039293289185,32,[],[1. 1. 1. 1. 0.],3.3768990694203076,"[1.0, 1.0, 1.0, 1.0, 0]",3.376899069420308
15,gaussian,COBYLA,recursive,False,True,1,4,5,HCrfZzf,35.55832839012146,28,[],[0. 1. 1. 1. 0.],3.667585436702108,"[1.0, 0, 0, 0, 1.0]",3.667585436702109
16,gaussian,COBYLA,recursive,False,True,1,3,5,D~{,77.00995087623596,29,[],[1. 1. 1. 1. 0.],3.3768990694203076,"[1.0, 1.0, 1.0, 1.0, 0]",3.376899069420308
17,gaussian,COBYLA,recursive,False,True,1,3,5,HCrfZzf,93.21417570114136,39,[],[1. 0. 0. 0. 1.],3.667585436702109,"[1.0, 0, 0, 0, 1.0]",3.667585436702109
18,gaussian,COBYLA,recursive,False,True,1,4,5,D~{,35.13094234466553,28,[],[1. 1. 1. 1. 0.],3.3768990694203076,"[1.0, 1.0, 1.0, 1.0, 0]",3.376899069420308
19,gaussian,COBYLA,recursive,False,True,1,4,5,HCrfZzf,41.359641551971436,31,[],[1. 0. 0. 0. 1.],3.667585436702109,"[1.0, 0, 0, 0, 1.0]",3.667585436702109
20,gaussian,COBYLA,recursive,False,True,1,3,5,D~{,81.9852077960968,30,[],[1. 1. 1. 1. 0.],3.3768990694203076,"[1.0, 1.0, 1.0, 1.0, 0]",3.376899069420308
21,gaussian,COBYLA,recursive,False,True,1,3,5,HCrfZzf,80.052255153656,32,[],[1. 0. 0. 0. 1.],3.667585436702109,"[1.0, 0, 0, 0, 1.0]",3.667585436702109
22,gaussian,COBYLA,recursive,False,True,1,4,5,D~{,41.0446503162384,32,[],[1. 1. 1. 1. 0.],3.3768990694203076,"[1.0, 1.0, 1.0, 1.0, 0]",3.376899069420308
23,gaussian,COBYLA,recursive,False,True,1,4,5,HCrfZzf,41.105143547058105,31,[],[1. 0. 0. 0. 1.],3.667585436702109,"[1.0, 0, 0, 0, 1.0]",3.667585436702109
24,gaussian,COBYLA,recursive,False,True,1,3,5,D~{,74.18505430221558,30,[],[1. 1. 1. 1. 0.],3.3768990694203076,"[1.0, 1.0, 1.0, 1.0, 0]",3.376899069420308
25,gaussian,COBYLA,recursive,False,True,1,3,5,HCrfZzf,77.44569778442383,26,[],[1. 0. 0. 0. 1.],3.667585436702109,"[1.0, 0, 0, 0, 1.0]",3.667585436702109
26,gaussian,COBYLA,recursive,False,True,1,4,5,D~{,36.40982723236084,27,[],[1. 1. 1. 1. 0.],3.3768990694203076,"[1.0, 1.0, 1.0, 1.0, 0]",3.376899069420308
27,gaussian,COBYLA,recursive,False,True,1,4,5,HCrfZzf,36.433692932128906,27,[],[1. 0. 0. 0. 1.],3.667585436702109,"[1.0, 0, 0, 0, 1.0]",3.667585436702109
28,gaussian,COBYLA,recursive,False,True,1,3,5,D~{,85.82430291175842,32,[],[1. 1. 1. 1. 0.],3.3768990694203076,"[1.0, 1.0, 1.0, 1.0, 0]",3.376899069420308
29,gaussian,COBYLA,recursive,False,True,1,3,5,HCrfZzf,79.07041239738464,30,[],[1. 0. 0. 1. 1.],3.409218382269965,"[1.0, 0, 0, 0, 1.0]",3.667585436702109
30,gaussian,COBYLA,recursive,False,True,1,4,5,D~{,33.66830658912659,25,[],[1. 1. 1. 1. 0.],3.3768990694203076,"[1.0, 1.0, 1.0, 1.0, 0]",3.376899069420308
31,gaussian,COBYLA,recursive,False,True,1,4,5,HCrfZzf,37.5837607383728,28,[],[0. 1. 1. 1. 0.],3.667585436702108,"[1.0, 0, 0, 0, 1.0]",3.667585436702109
32,gaussian,COBYLA,recursive,False,True,1,3,5,D~{,72.84772753715515,27,[],[1. 1. 1. 1. 0.],3.3768990694203076,"[1.0, 1.0, 1.0, 1.0, 0]",3.376899069420308
33,gaussian,COBYLA,recursive,False,True,1,3,5,HCrfZzf,75.5448567867279,30,[],[1. 0. 0. 0. 1.],3.667585436702109,"[1.0, 0, 0, 0, 1.0]",3.667585436702109
34,gaussian,COBYLA,recursive,False,True,1,4,5,D~{,45.33293700218201,35,[],[1. 1. 1. 1. 0.],3.3768990694203076,"[1.0, 1.0, 1.0, 1.0, 0]",3.376899069420308
35,gaussian,COBYLA,recursive,False,True,1,4,5,HCrfZzf,39.06180930137634,30,[],[1. 0. 0. 0. 1.],3.667585436702109,"[1.0, 0, 0, 0, 1.0]",3.667585436702109
36,gaussian,COBYLA,recursive,False,True,1,3,5,D~{,78.06997847557068,31,[],[1. 1. 1. 1. 0.],3.3768990694203076,"[1.0, 1.0, 1.0, 1.0, 0]",3.376899069420308
37,gaussian,COBYLA,recursive,False,True,1,3,5,HCrfZzf,81.80693197250366,32,[],[1. 0. 0. 0. 1.],3.667585436702109,"[1.0, 0, 0, 0, 1.0]",3.667585436702109
38,gaussian,COBYLA,recursive,False,True,1,4,5,D~{,36.873607873916626,28,[],[1. 1. 1. 1. 0.],3.3768990694203076,"[1.0, 1.0, 1.0, 1.0, 0]",3.376899069420308
39,gaussian,COBYLA,recursive,False,True,1,4,5,HCrfZzf,41.53693962097168,31,[],[0. 1. 1. 1. 0.],3.667585436702108,"[1.0, 0, 0, 0, 1.0]",3.667585436702109
40,gaussian,COBYLA,recursive,False,True,1,3,5,D~{,71.35954785346985,26,[],[1. 1. 1. 1. 0.],3.3768990694203076,"[1.0, 1.0, 1.0, 1.0, 0]",3.376899069420308
41,gaussian,COBYLA,recursive,False,True,1,3,5,HCrfZzf,83.03215885162354,31,[],[1. 0. 0. 0. 1.],3.667585436702109,"[1.0, 0, 0, 0, 1.0]",3.667585436702109
42,gaussian,COBYLA,recursive,False,True,1,4,5,D~{,39.12310194969177,30,[],[1. 1. 1. 1. 0.],3.3768990694203076,"[1.0, 1.0, 1.0, 1.0, 0]",3.376899069420308
43,gaussian,COBYLA,recursive,False,True,1,4,5,HCrfZzf,35.54506230354309,28,[],[1. 0. 0. 1. 1.],3.409218382269965,"[1.0, 0, 0, 0, 1.0]",3.667585436702109
44,gaussian,COBYLA,recursive,False,True,1,3,5,D~{,73.61901259422302,29,[],[1. 1. 1. 1. 0.],3.3768990694203076,"[1.0, 1.0, 1.0, 1.0, 0]",3.376899069420308
45,gaussian,COBYLA,recursive,False,True,1,3,5,HCrfZzf,86.6194679737091,30,[],[1. 0. 0. 0. 1.],3.667585436702109,"[1.0, 0, 0, 0, 1.0]",3.667585436702109
46,gaussian,COBYLA,recursive,False,True,1,4,5,D~{,35.661712408065796,27,[],[1. 1. 1. 1. 0.],3.3768990694203076,"[1.0, 1.0, 1.0, 1.0, 0]",3.376899069420308
47,gaussian,COBYLA,recursive,False,True,1,4,5,HCrfZzf,41.51541066169739,32,[],[0. 1. 1. 1. 0.],3.667585436702108,"[1.0, 0, 0, 0, 1.0]",3.667585436702109
48,gaussian,COBYLA,recursive,False,True,1,3,5,D~{,76.61734676361084,32,[],[1. 1. 1. 1. 0.],3.3768990694203076,"[1.0, 1.0, 1.0, 1.0, 0]",3.376899069420308
49,gaussian,COBYLA,recursive,False,True,1,3,5,HCrfZzf,72.12429761886597,28,[],[1. 0. 0. 0. 1.],3.667585436702109,"[1.0, 0, 0, 0, 1.0]",3.667585436702109
50,gaussian,COBYLA,recursive,False,True,1,4,5,D~{,35.588244676589966,27,[],[1. 1. 1. 1. 0.],3.3768990694203076,"[1.0, 1.0, 1.0, 1.0, 0]",3.376899069420308
51,gaussian,COBYLA,recursive,False,True,1,4,5,HCrfZzf,36.55689597129822,27,[],[1. 0. 0. 0. 1.],3.667585436702109,"[1.0, 0, 0, 0, 1.0]",3.667585436702109
52,gaussian,COBYLA,recursive,False,True,1,3,5,D~{,81.49488949775696,34,[],[1. 1. 1. 1. 0.],3.3768990694203076,"[1.0, 1.0, 1.0, 1.0, 0]",3.376899069420308
53,gaussian,COBYLA,recursive,False,True,1,3,5,HCrfZzf,86.89157915115356,31,[],[1. 0. 0. 0. 1.],3.667585436702109,"[1.0, 0, 0, 0, 1.0]",3.667585436702109
54,gaussian,COBYLA,recursive,False,True,1,4,5,D~{,37.83313822746277,28,[],[1. 1. 1. 1. 0.],3.3768990694203076,"[1.0, 1.0, 1.0, 1.0, 0]",3.376899069420308
55,gaussian,COBYLA,recursive,False,True,1,4,5,HCrfZzf,58.343605518341064,46,[],[1. 0. 0. 0. 1.],3.667585436702109,"[1.0, 0, 0, 0, 1.0]",3.667585436702109
56,gaussian,COBYLA,recursive,False,True,1,3,5,D~{,77.66577625274658,32,[],[0. 0. 0. 0. 1.],3.3768990694203076,"[1.0, 1.0, 1.0, 1.0, 0]",3.376899069420308
57,gaussian,COBYLA,recursive,False,True,1,3,5,HCrfZzf,70.79289412498474,28,[],[1. 0. 0. 0. 1.],3.667585436702109,"[1.0, 0, 0, 0, 1.0]",3.667585436702109
58,gaussian,COBYLA,recursive,False,True,1,4,5,D~{,38.64822244644165,31,[],[1. 1. 1. 1. 0.],3.3768990694203076,"[1.0, 1.0, 1.0, 1.0, 0]",3.376899069420308
59,gaussian,COBYLA,recursive,False,True,1,4,5,HCrfZzf,39.96885395050049,27,[],[1. 0. 0. 0. 1.],3.667585436702109,"[1.0, 0, 0, 0, 1.0]",3.667585436702109
60,gaussian,COBYLA,recursive,False,True,1,3,5,D~{,78.36236643791199,26,[],[1. 1. 1. 1. 0.],3.3768990694203076,"[1.0, 1.0, 1.0, 1.0, 0]",3.376899069420308
61,gaussian,COBYLA,recursive,False,True,1,3,5,HCrfZzf,79.08068561553955,30,[],[1. 0. 0. 0. 1.],3.667585436702109,"[1.0, 0, 0, 0, 1.0]",3.667585436702109
62,gaussian,COBYLA,recursive,False,True,1,4,5,D~{,37.9025993347168,30,[],[1. 1. 1. 1. 0.],3.3768990694203076,"[1.0, 1.0, 1.0, 1.0, 0]",3.376899069420308
63,gaussian,COBYLA,recursive,False,True,1,4,5,HCrfZzf,33.08405590057373,26,[],[1. 0. 0. 0. 1.],3.667585436702109,"[1.0, 0, 0, 0, 1.0]",3.667585436702109
64,gaussian,COBYLA,recursive,False,True,1,3,5,D~{,75.21873950958252,29,[],[1. 1. 1. 1. 0.],3.3768990694203076,"[1.0, 1.0, 1.0, 1.0, 0]",3.376899069420308
65,gaussian,COBYLA,recursive,False,True,1,3,5,HCrfZzf,81.68057775497437,32,[],[1. 0. 0. 0. 1.],3.667585436702109,"[1.0, 0, 0, 0, 1.0]",3.667585436702109
66,gaussian,COBYLA,recursive,False,True,1,4,5,D~{,39.4683575630188,28,[],[1. 1. 1. 1. 0.],3.3768990694203076,"[1.0, 1.0, 1.0, 1.0, 0]",3.376899069420308
67,gaussian,COBYLA,recursive,False,True,1,4,5,HCrfZzf,39.13430047035217,30,[],[1. 0. 0. 0. 1.],3.667585436702109,"[1.0, 0, 0, 0, 1.0]",3.667585436702109
68,gaussian,COBYLA,recursive,False,True,1,3,5,D~{,77.9487977027893,30,[],[1. 1. 1. 1. 0.],3.3768990694203076,"[1.0, 1.0, 1.0, 1.0, 0]",3.376899069420308
69,gaussian,COBYLA,recursive,False,True,1,3,5,HCrfZzf,78.20457005500793,28,[],[1. 0. 0. 0. 1.],3.667585436702109,"[1.0, 0, 0, 0, 1.0]",3.667585436702109
70,gaussian,COBYLA,recursive,False,True,1,4,5,D~{,38.00094437599182,29,[],[1. 1. 1. 1. 0.],3.3768990694203076,"[1.0, 1.0, 1.0, 1.0, 0]",3.376899069420308
71,gaussian,COBYLA,recursive,False,True,1,4,5,HCrfZzf,35.1129150390625,28,[],[1. 0. 0. 0. 1.],3.667585436702109,"[1.0, 0, 0, 0, 1.0]",3.667585436702109
72,gaussian,COBYLA,recursive,False,True,1,3,5,D~{,79.84979510307312,30,[],[1. 1. 1. 1. 0.],3.3768990694203076,"[1.0, 1.0, 1.0, 1.0, 0]",3.376899069420308
73,gaussian,COBYLA,recursive,False,True,1,3,5,HCrfZzf,85.92053723335266,29,[],[1. 0. 0. 0. 1.],3.667585436702109,"[1.0, 0, 0, 0, 1.0]",3.667585436702109
74,gaussian,COBYLA,recursive,False,True,1,4,5,D~{,37.96123695373535,29,[],[1. 1. 1. 1. 0.],3.3768990694203076,"[1.0, 1.0, 1.0, 1.0, 0]",3.376899069420308
75,gaussian,COBYLA,recursive,False,True,1,4,5,HCrfZzf,36.57185077667236,28,[],[1. 0. 0. 0. 1.],3.667585436702109,"[1.0, 0, 0, 0, 1.0]",3.667585436702109
76,gaussian,COBYLA,recursive,False,True,1,3,5,D~{,79.18198013305664,32,[],[1. 1. 1. 1. 0.],3.3768990694203076,"[1.0, 1.0, 1.0, 1.0, 0]",3.376899069420308
77,gaussian,COBYLA,recursive,False,True,1,3,5,HCrfZzf,92.16307282447815,30,[],[1. 0. 0. 0. 1.],3.667585436702109,"[1.0, 0, 0, 0, 1.0]",3.667585436702109
78,gaussian,COBYLA,recursive,False,True,1,4,5,D~{,32.76714777946472,25,[],[1. 1. 1. 1. 0.],3.3768990694203076,"[1.0, 1.0, 1.0, 1.0, 0]",3.376899069420308
79,gaussian,COBYLA,recursive,False,True,1,4,5,HCrfZzf,42.0394172668457,32,[],[1. 0. 0. 0. 1.],3.667585436702109,"[1.0, 0, 0, 0, 1.0]",3.667585436702109
