,depth,param_initialization,qaoa_variant,graph_size,graph_name,time_elapsed,quantum_func_evals,obj_func_evolution,quantum_solution,quantum_obj_value,classic_solution,classic_value,final_params,percent_measure_optimal
0,1,gaussian,vanilla,5,>>graph6<<DkO,14.386989831924438,55,"[array(-0.169), array(-1.4368), array(-2.195), array(-0.6402), array(1.1254), array(-1.8364), array(-3.2742), array(-3.3698), array(-3.4796), array(-2.7248), array(-3.8324), array(-3.361), array(-3.5906), array(-3.8928), array(-3.8652), array(-3.8476), array(-3.908), array(-3.9476), array(-3.9796), array(-4.0064), array(-3.9698), array(-3.925), array(-3.9764), array(-3.9808), array(-3.9608), array(-3.8918), array(-3.9792), array(-3.991), array(-3.9664), array(-3.9346), array(-3.9356), array(-3.9848), array(-3.9234), array(-3.9262), array(-3.9784), array(-3.9072), array(-3.9638), array(-3.9306), array(-3.9896), array(-3.9136), array(-3.9776), array(-3.9524), array(-4.0028), array(-3.9676), array(-3.9236), array(-3.8912), array(-3.926), array(-3.9998), array(-3.9712), array(-3.9014), array(-3.958), array(-4.01), array(-3.9226), array(-3.9524), array(-3.9454)]","[0, 1, 1, 1, 1]",4,"[1.0, 0, 0, 1.0, 0]",2.5,[4.20768156 2.00990193],0.017599999999999998
1,1,gaussian,vanilla,5,>>graph6<<Dm{,12.301909685134888,49,"[array(-0.3578), array(-1.888), array(-9.3248), array(1.025), array(1.5436), array(-8.3924), array(2.1878), array(8.2648), array(-4.1902), array(-9.5786), array(-9.5454), array(-7.1094), array(-9.1474), array(-9.5018), array(-9.555), array(-9.5262), array(-9.548), array(-9.5938), array(-9.5782), array(-9.5832), array(-9.5686), array(-9.5336), array(-9.5912), array(-9.5258), array(-9.5684), array(-9.5302), array(-9.5464), array(-9.581), array(-9.5374), array(-9.535), array(-9.5604), array(-9.5782), array(-9.5638), array(-9.5626), array(-9.5502), array(-9.5938), array(-9.5432), array(-9.5228), array(-9.568), array(-9.5928), array(-9.5522), array(-9.585), array(-9.5692), array(-9.5448), array(-9.5652), array(-9.5798), array(-9.6), array(-9.5644), array(-9.5844)]","[1, 1, 1, 1, 1]",5,"[1.0, 0, 0, 0, 1.0]",3.75,[4.08440989 2.09415727],0.0116
2,1,gaussian,vanilla,7,>>graph6<<FkPsg,25.712904691696167,50,"[array(-2.3868), array(-12.1888), array(-0.7176), array(-0.2248), array(-0.1326), array(-16.907), array(5.2706), array(3.302), array(-0.6394), array(-16.9062), array(-16.7718), array(-16.8292), array(-16.8672), array(-16.8772), array(-16.7234), array(-16.9102), array(-16.9102), array(-16.8968), array(-16.8978), array(-16.85), array(-16.8826), array(-16.938), array(-16.9054), array(-16.8774), array(-16.896), array(-16.9132), array(-16.9026), array(-16.9058), array(-16.9266), array(-16.8702), array(-16.926), array(-16.8794), array(-16.8828), array(-16.8792), array(-16.858), array(-16.8928), array(-16.881), array(-16.8728), array(-16.9098), array(-16.8596), array(-16.892), array(-16.9374), array(-16.9006), array(-16.9164), array(-16.929), array(-16.9052), array(-16.8812), array(-16.907), array(-16.8828), array(-16.9238)]","[1, 1, 1, 1, 1, 1, 1]",7,"[0, 1.0, 1.0, 1.0, 1.0, 0, 0]",5.25,[4.14528745 1.60729536],0.0018
3,1,gaussian,vanilla,7,>>graph6<<Fm~]w,28.990596771240234,50,"[array(0.7558), array(7.6664), array(8.473), array(6.2666), array(-16.3744), array(4.0588), array(6.6312), array(-6.0174), array(-10.7898), array(1.7464), array(1.84), array(-10.6664), array(-16.984), array(-18.8582), array(-17.5994), array(-18.472), array(-17.4422), array(-18.3424), array(-18.0006), array(-18.5678), array(-18.6722), array(-19.0096), array(-18.2038), array(-18.3802), array(-18.5042), array(-18.7374), array(-18.1308), array(-18.2132), array(-18.2274), array(-18.4422), array(-18.7304), array(-18.3574), array(-18.1366), array(-18.4202), array(-18.1714), array(-17.9216), array(-18.7714), array(-18.4372), array(-18.4188), array(-18.4444), array(-18.2702), array(-18.4004), array(-18.473), array(-18.5504), array(-18.329), array(-18.1428), array(-18.5636), array(-18.7282), array(-18.3406), array(-18.6178)]","[1, 1, 0, 0, 1, 0, 1]",6,"[1.0, 0, 1.0, 1.0, 0, 0, 1.0]",7.0,[2.87767659 0.87355091],0.1005
4,1,gaussian,vanilla,9,>>graph6<<HkPsgZ@,74.20628952980042,50,"[array(6.0054), array(10.8712), array(1.3044), array(1.532), array(48.4914), array(10.2668), array(4.6464), array(2.0764), array(3.0842), array(0.2368), array(-0.0664), array(-1.2028), array(-1.9958), array(5.7256), array(-1.9124), array(-0.1456), array(-1.8146), array(-1.477), array(-1.6466), array(-1.5934), array(-0.5304), array(-1.3696), array(-1.616), array(-1.89), array(-1.8888), array(-1.006), array(-1.6482), array(-1.7394), array(-1.6314), array(-1.0964), array(-1.4696), array(-1.4096), array(-1.6196), array(-0.9586), array(-1.4374), array(-1.3338), array(-1.2346), array(-1.6612), array(-1.7558), array(-1.19), array(-1.3866), array(-1.588), array(-1.9488), array(-1.6164), array(-1.2356), array(-0.965), array(-1.3178), array(-0.6968), array(-1.2696), array(-1.799)]","[1, 0, 0, 1, 0, 1, 0, 0, 1]",8,"[1.0, 1.0, 0, 0, 0, 0, 1.0, 1.0, 0]",7.5,[3.27839009 2.9568989 ],0.0032
5,1,gaussian,vanilla,9,>>graph6<<Hm~]x^^,72.33881998062134,48,"[array(-9.2894), array(-56.2692), array(6.2276), array(-4.6256), array(0.946), array(-49.5552), array(5.0334), array(66.5116), array(51.5558), array(-46.9472), array(-35.8376), array(-63.599), array(-54.1326), array(-62.9362), array(-64.2092), array(-64.1286), array(-64.02), array(-64.0034), array(-64.0628), array(-64.023), array(-63.9884), array(-64.0542), array(-64.2306), array(-64.161), array(-64.0562), array(-64.2132), array(-64.281), array(-64.1146), array(-64.1916), array(-64.2464), array(-64.2054), array(-64.0722), array(-63.9812), array(-64.2188), array(-64.2478), array(-64.1638), array(-64.1124), array(-64.1602), array(-64.1426), array(-64.2022), array(-64.0694), array(-64.1458), array(-64.1298), array(-63.9512), array(-64.0578), array(-64.103), array(-64.2764), array(-64.0968)]","[1, 1, 1, 1, 1, 1, 1, 1, 1]",9,"[1.0, 1.0, 0, 1.0, 0, 0, 0, 1.0, 0]",12.25,[4.21580284 1.89579755],0.0342
6,2,uniform,vanilla,5,>>graph6<<DkO,17.84688973426819,81,"[array(-1.7718), array(-1.3032), array(1.6736), array(-1.6004), array(2.784), array(-0.1476), array(-0.5596), array(0.448), array(-2.3382), array(-1.7684), array(-3.503), array(-3.1098), array(3.9518), array(-4.0192), array(-4.1988), array(-3.5768), array(-3.7914), array(-4.4062), array(-4.6648), array(-4.5606), array(-4.3974), array(-4.3102), array(-4.6544), array(-4.5232), array(-4.6286), array(-4.5942), array(-4.6948), array(-4.64), array(-4.577), array(-4.6762), array(-4.6428), array(-4.6666), array(-4.6132), array(-4.6634), array(-4.5902), array(-4.6498), array(-4.6686), array(-4.6178), array(-4.6728), array(-4.5992), array(-4.5984), array(-4.6438), array(-4.6378), array(-4.664), array(-4.6518), array(-4.6198), array(-4.607), array(-4.6134), array(-4.6406), array(-4.6468), array(-4.641), array(-4.6144), array(-4.6886), array(-4.65), array(-4.672), array(-4.6192), array(-4.6432), array(-4.6286), array(-4.5882), array(-4.6142), array(-4.633), array(-4.6352), array(-4.6184), array(-4.5802), array(-4.6952), array(-4.61), array(-4.6416), array(-4.6194), array(-4.5922), array(-4.6002), array(-4.6578), array(-4.6164), array(-4.6346), array(-4.6066), array(-4.6512), array(-4.6358), array(-4.6114), array(-4.583), array(-4.6852), array(-4.6804), array(-4.6658)]","[0, 1, 1, 0, 1]",3,"[1.0, 0, 0, 1.0, 0]",2.5,[2.43101817 1.93049211 3.29351936 3.10032369],0.15239999999999998
7,2,uniform,vanilla,5,>>graph6<<Dm{,17.61500096321106,78,"[array(-8.7042), array(28.2382), array(0.6042), array(1.5524), array(-8.6748), array(3.2752), array(3.0894), array(0.9962), array(-6.5816), array(4.0634), array(-8.0956), array(-1.9178), array(2.5766), array(-9.5432), array(-8.7306), array(-8.5546), array(-8.5504), array(-8.9932), array(-9.6672), array(-9.6706), array(-9.512), array(-9.7604), array(-9.8014), array(-9.765), array(-9.7388), array(-9.745), array(-9.602), array(-9.7944), array(-9.7886), array(-9.7932), array(-9.7544), array(-9.7602), array(-9.7508), array(-9.7892), array(-9.7464), array(-9.7408), array(-9.7454), array(-9.7726), array(-9.7786), array(-9.8024), array(-9.797), array(-9.765), array(-9.8014), array(-9.7448), array(-9.7254), array(-9.7964), array(-9.7572), array(-9.7386), array(-9.7482), array(-9.753), array(-9.8022), array(-9.7528), array(-9.754), array(-9.7602), array(-9.7708), array(-9.7616), array(-9.7814), array(-9.7766), array(-9.7508), array(-9.825), array(-9.7802), array(-9.791), array(-9.788), array(-9.8224), array(-9.8092), array(-9.7416), array(-9.7382), array(-9.7506), array(-9.7428), array(-9.7536), array(-9.7604), array(-9.7956), array(-9.784), array(-9.786), array(-9.7828), array(-9.7486), array(-9.7518), array(-9.815)]","[1, 1, 1, 1, 1]",5,"[1.0, 0, 0, 0, 1.0]",3.75,[4.16454035 1.1780964  5.26670899 1.87800035],0.0723
8,2,uniform,vanilla,7,>>graph6<<FkPsg,36.64589762687683,76,"[array(-8.1432), array(4.516), array(-14.735), array(0.1064), array(-14.1076), array(-0.2078), array(2.776), array(-14.1416), array(-15.298), array(13.4588), array(6.4538), array(-14.5864), array(-14.1594), array(9.2006), array(-16.2098), array(-15.7066), array(-16.1422), array(-15.5952), array(-15.61), array(-16.4012), array(-16.4702), array(-16.062), array(-16.3652), array(-16.4294), array(-16.3516), array(-16.3436), array(-16.2162), array(-16.4138), array(-16.2954), array(-16.2866), array(-16.3114), array(-16.2698), array(-16.3366), array(-16.3836), array(-16.353), array(-16.4036), array(-16.3648), array(-16.3218), array(-16.3164), array(-16.3114), array(-16.334), array(-16.3814), array(-16.3944), array(-16.3078), array(-16.339), array(-16.4444), array(-16.3068), array(-16.387), array(-16.3214), array(-16.3306), array(-16.3406), array(-16.3394), array(-16.3414), array(-16.3474), array(-16.3496), array(-16.2614), array(-16.3902), array(-16.258), array(-16.342), array(-16.3034), array(-16.335), array(-16.4068), array(-16.3334), array(-16.3502), array(-16.4208), array(-16.3306), array(-16.2782), array(-16.2698), array(-16.3328), array(-16.3188), array(-16.3182), array(-16.3702), array(-16.365), array(-16.3082), array(-16.3012), array(-16.3752)]","[1, 1, 1, 1, 1, 1, 1]",7,"[0, 1.0, 1.0, 1.0, 1.0, 0, 0]",5.25,[0.78315021 1.92710335 4.72301748 0.1831297 ],0.0038
9,2,uniform,vanilla,7,>>graph6<<Fm~]w,39.83966541290283,77,"[array(-5.353), array(21.5906), array(1.1264), array(4.96), array(-0.0744), array(2.5744), array(27.276), array(-11.1874), array(-0.0158), array(-14.2962), array(-12.2562), array(24.5068), array(7.8576), array(-16.6528), array(0.85), array(-15.5668), array(5.38), array(-18.7104), array(6.1582), array(-9.253), array(-18.6902), array(-16.6984), array(-19.951), array(-17.7012), array(-19.7226), array(-18.4772), array(-19.6882), array(-20.0658), array(-18.9784), array(-20.2922), array(-19.462), array(-19.9954), array(-19.5028), array(-19.7668), array(-18.999), array(-19.6444), array(-19.3022), array(-19.9132), array(-19.6554), array(-19.8132), array(-19.329), array(-19.5142), array(-19.7072), array(-19.8584), array(-19.504), array(-19.6316), array(-20.2016), array(-19.687), array(-18.8066), array(-19.3526), array(-20.0528), array(-19.4512), array(-20.0418), array(-20.2152), array(-20.013), array(-19.7182), array(-19.8472), array(-19.6746), array(-19.9262), array(-19.929), array(-20.013), array(-19.575), array(-19.4014), array(-19.8734), array(-20.2016), array(-19.7596), array(-19.6808), array(-19.572), array(-19.5468), array(-19.693), array(-19.395), array(-19.8436), array(-19.5662), array(-19.5144), array(-19.6262), array(-19.6284), array(-19.9662)]","[1, 1, 0, 1, 1, 1, 0]",5,"[1.0, 0, 1.0, 1.0, 0, 0, 1.0]",7.0,[5.83668555 2.99178239 0.8841541  1.60001918],0.2189
10,2,uniform,vanilla,9,>>graph6<<HkPsgZ@,131.50109910964966,77,"[array(-8.5296), array(-13.0448), array(39.6082), array(-7.286), array(-5.25), array(6.032), array(71.289), array(3.818), array(-19.9228), array(-15.6726), array(50.5174), array(2.531), array(55.1916), array(2.6586), array(43.7772), array(-23.2354), array(-23.535), array(-3.1234), array(-24.5354), array(46.77), array(-16.2764), array(-25.4298), array(-4.133), array(-23.2916), array(-25.8198), array(-21.1198), array(-25.812), array(-23.2572), array(-25.5128), array(-25.2078), array(-25.4824), array(-25.6402), array(-25.5648), array(-25.0958), array(-25.5574), array(-25.4566), array(-25.6442), array(-25.762), array(-25.4494), array(-25.4798), array(-25.7324), array(-25.7034), array(-25.7216), array(-25.6208), array(-25.3846), array(-25.674), array(-25.3438), array(-25.7416), array(-25.3592), array(-25.2466), array(-25.3326), array(-25.348), array(-25.6398), array(-25.5972), array(-25.267), array(-25.3218), array(-25.1846), array(-25.5264), array(-25.5532), array(-25.4106), array(-25.1422), array(-25.4754), array(-25.4782), array(-25.563), array(-25.5512), array(-25.6862), array(-25.7704), array(-25.7024), array(-25.7868), array(-25.3838), array(-25.6028), array(-25.7548), array(-25.3124), array(-25.5236), array(-25.3048), array(-25.5362), array(-25.5684)]","[1, 1, 0, 1, 0, 1, 0, 1, 0]",5,"[1.0, 1.0, 0, 0, 0, 0, 1.0, 1.0, 0]",7.5,[3.09107661 2.71279897 4.9058592  2.07956575],0.0363
11,2,uniform,vanilla,9,>>graph6<<Hm~]x^^,131.9763412475586,79,"[array(-5.3014), array(0.529), array(-4.2344), array(-0.9248), array(-2.1896), array(8.102), array(9.662), array(-11.3152), array(4.5076), array(-12.6936), array(43.3424), array(94.9504), array(2.2294), array(5.2012), array(4.8188), array(-11.434), array(-12.294), array(-15.5406), array(-11.4776), array(-14.5198), array(-15.6114), array(-13.0438), array(-16.66), array(-11.876), array(-14.5244), array(-14.6944), array(-15.0826), array(-14.9924), array(-14.2562), array(-15.445), array(-13.9974), array(-15.042), array(-14.3548), array(-14.705), array(-16.0954), array(-16.2482), array(-15.5412), array(-16.4022), array(-14.459), array(-15.462), array(-15.9482), array(-13.0184), array(-12.8418), array(-16.4104), array(-16.1908), array(-14.8768), array(-15.098), array(-16.159), array(-16.0082), array(-14.8662), array(-15.2264), array(-15.0854), array(-13.3126), array(-14.3578), array(-16.3818), array(-14.484), array(-13.7692), array(-15.7596), array(-16.945), array(-15.041), array(-17.6078), array(-15.13), array(-14.8718), array(-14.613), array(-16.1338), array(-14.9304), array(-15.5516), array(-15.364), array(-15.8364), array(-16.0316), array(-14.0188), array(-15.2992), array(-15.797), array(-14.7876), array(-16.3516), array(-13.9658), array(-14.5022), array(-14.0814), array(-16.271)]","[0, 0, 0, 0, 0, 0, 0, 0, 0]",56,"[1.0, 1.0, 0, 1.0, 0, 0, 0, 1.0, 0]",12.25,[ 1.88424637e+00 -1.17853420e-03  1.98619378e+00  2.23656576e+00],0.034499999999999996
